N,beta,acc,ign,ece
1,0.7,0.5933333333333334,0.2998,0.25389485677083334
1,0.9,0.5933333333333334,0.1001,0.25389485677083334
3,0.7,0.5933333333333334,0.3096,0.25389485677083334
3,0.9,0.5933333333333334,0.1552,0.25389485677083334
5,0.7,0.5933333333333334,0.3225,0.25389485677083334
5,0.9,0.5933333333333334,0.1548,0.25389485677083334
